selected_site,Z,pop_dev,cost_over,water_short,env_short
Rjim_Maatoug,29549.611886,239.36708,558.5086,1.3908943,0.0
Boughrara,34368.4297,292.22868,514.55617,0.0,0.0
Boughrara,31881.0302,266.99668,518.13622,0.0,0.0
Rjim_Maatoug,34042.579026,279.84331,603.07917,1.3728163,0.0
Boughrara,28423.6852,237.49954,467.37312,0.0,0.0
Boughrara,31949.888999999996,269.66024,498.3865,0.0,0.0
Boughrara,29603.2807,253.01475,430.18057,0.0,0.0
Rjim_Maatoug,37316.678230000005,309.3249,635.86721,1.2758065,0.0
Rjim_Maatoug,32381.500895999998,265.91671,576.54919,1.2168998,0.0
Boughrara,32263.3087,278.11901,445.14077,0.0,0.0
Boughrara,33149.232299999996,273.53574,579.56583,0.0,0.0
Rjim_Maatoug,32406.152049999997,282.405,414.0135,1.2758525,0.0
Rjim_Maatoug,30807.784088,260.13176,476.91198,1.2744144,0.0
Rjim_Maatoug,30846.107383999995,254.9303,532.58368,1.3620292,0.0
Rjim_Maatoug,31333.521364000004,257.59892,555.14136,1.1107882,0.0
Boughrara,31327.182099999998,263.01239,502.59431,0.0,0.0
Rjim_Maatoug,34770.332178000004,285.3378,620.9229,1.3661589,0.0
Boughrara,29357.6708,249.49027,440.86438,0.0,0.0
Rjim_Maatoug,34762.077648,289.38162,579.99715,1.1972074,0.0
Boughrara,32701.585600000002,278.8994,481.16456,0.0,0.0
Rjim_Maatoug,34613.624612,295.76066,501.70295,1.0264556,0.0
Rjim_Maatoug,33670.204483999994,285.4607,509.65906,1.3771942,0.0
Boughrara,34112.2712,287.08863,540.34082,0.0,0.0
Boughrara,31730.301099999997,267.22862,500.74391,0.0,0.0
Rjim_Maatoug,36045.957912,306.64058,535.30662,1.4416856,0.0
Rjim_Maatoug,30666.020991999998,249.06384,573.73774,1.1129796,0.0
Rjim_Maatoug,30557.962666,253.77782,515.58381,1.2171283,0.0
Boughrara,24892.2782,203.06986,458.52922,0.0,0.0
Boughrara,32414.082199999997,267.39964,567.41182,0.0,0.0
Boughrara,30997.1735,255.10126,548.70475,0.0,0.0
Rjim_Maatoug,31085.637634,241.68718,689.39702,1.1474717,0.0
Rjim_Maatoug,33526.036503999996,287.21707,478.00814,1.2124052,0.0
Boughrara,33625.6843,295.58349,406.73353,0.0,0.0
Boughrara,31492.7849484,265.72541,491.63448,0.19495742,0.0
Boughrara,31601.332799999996,271.92064,440.92688,0.0,0.0
Rjim_Maatoug,33630.157436,277.35516,586.76977,1.3471868,0.0
Boughrara,31445.9316,260.20701,542.52306,0.0,0.0
Boughrara,32963.087999999996,276.09688,535.34,0.0,0.0
Rjim_Maatoug,29239.827628,247.67785,444.61653,1.2938664,0.0
Boughrara,29687.974299999998,243.12031,537.59433,0.0,0.0
Boughrara,33723.5117,299.95594,372.79177,0.0,0.0
Boughrara,30424.0636,250.59606,536.44576,0.0,0.0
Boughrara,32889.5525,275.16155,537.33975,0.0,0.0
Rjim_Maatoug,30230.775569999998,236.27819,657.72138,1.2871385,0.0
Boughrara,36679.9931,315.75503,510.44901,0.0,0.0
Boughrara,32135.2834,278.49066,428.62174,0.0,0.0
Rjim_Maatoug,32443.409322,282.20016,419.94242,1.1984561,0.0
Boughrara,32120.2734,260.14741,610.55324,0.0,0.0
Rjim_Maatoug,33179.461444,292.20731,393.52651,1.1732672,0.0
Rjim_Maatoug,35581.686374,292.43755,631.39811,1.1975137,0.0
Rjim_Maatoug,32900.156460000006,276.42567,522.59982,1.579563,0.0
Rjim_Maatoug,34974.826622,307.37884,421.45382,1.1202211,0.0
Boughrara,29746.0184,251.70325,457.56934,0.0,0.0
Rjim_Maatoug,31220.974860000002,263.7101,482.45195,1.272268,0.0
Rjim_Maatoug,30483.317572,248.87575,556.95468,1.3097886,0.0
Rjim_Maatoug,34646.093738,288.982,572.00361,1.3928819,0.0
Rjim_Maatoug,31551.102474,252.74539,625.23198,1.2121837,0.0
Rjim_Maatoug,30008.541306,241.55994,582.30963,1.4725503,0.0
Boughrara,28183.0061,236.80156,450.28501,0.0,0.0
Rjim_Maatoug,33439.39542,276.0199,581.47217,1.134186,0.0
Boughrara,33006.838899999995,282.04952,480.18869,0.0,0.0
Boughrara,36777.741200000004,309.82482,579.52592,0.0,0.0
Boughrara,31514.454599999997,262.58303,525.61516,0.0,0.0
Rjim_Maatoug,34263.857074,286.32132,560.45305,1.3597287,0.0
Boughrara,30234.564,258.1039,442.4174,0.0,0.0
Rjim_Maatoug,31286.590021999997,256.01805,565.69399,1.3922561,0.0
Boughrara,31942.178399999997,268.80283,506.18954,0.0,0.0
Rjim_Maatoug,31835.817352,267.34542,507.62595,1.2507926,0.0
Rjim_Maatoug,33794.606088,278.20582,594.40828,1.4970644,0.0
Boughrara,29472.6827,257.60167,371.25157,0.0,0.0
Boughrara,32990.0021,277.55181,523.48211,0.0,0.0
Rjim_Maatoug,33198.453224,277.39756,543.62101,1.1243562,0.0
Boughrara,31417.006899999997,262.96966,512.00409,0.0,0.0
Rjim_Maatoug,30184.806081999996,241.72797,598.09242,1.5542441,0.0
Boughrara,30260.1509,252.42019,501.81319,0.0,0.0
Boughrara,34205.167199999996,294.4745,475.77172,0.0,0.0
Rjim_Maatoug,31287.965180000003,269.83273,427.88184,1.293689,0.0
Rjim_Maatoug,28904.473385999998,237.99379,508.31343,1.0980043,0.0
Boughrara,32477.697099999998,274.39013,503.86841,0.0,0.0
Rjim_Maatoug,32336.171908,265.58609,575.2427,1.2567954,0.0
Rjim_Maatoug,31630.154402,266.44313,496.04468,1.2697301,0.0
Boughrara,33358.791000000005,287.79376,457.9415,0.0,0.0
Rjim_Maatoug,27473.567010000002,213.02523,614.60315,1.2506255,0.0
Rjim_Maatoug,32678.018035999998,280.7059,458.27977,1.2315168,0.0
Rjim_Maatoug,31087.253508,248.60518,620.14382,1.2648654,0.0
Rjim_Maatoug,29323.452432000002,238.44641,545.65263,1.1142566,0.0
Boughrara,30862.582599999998,268.13924,404.86586,0.0,0.0
Boughrara,31402.194699999996,258.64946,553.72487,0.0,0.0
Boughrara,29914.3514,253.66883,454.74684,0.0,0.0
Boughrara,29920.9369,249.42061,497.88759,0.0,0.0
Rjim_Maatoug,29018.559366,250.36366,395.76444,1.2274483,0.0
Boughrara,36057.0807,318.35163,422.19177,0.0,0.0
Boughrara,27000.2421,225.77092,442.31501,0.0,0.0
Rjim_Maatoug,32478.055426,279.05009,454.8993,1.2026713,0.0
Boughrara,30960.6287,263.4987,461.07587,0.0,0.0
Boughrara,31939.422400000003,268.31195,510.82274,0.0,0.0
